"","m/z","RT","compound_name","lipid_species","lipid_class","sample","intensity","treatment","polarity"
"1",816.4224194,81.85675,"DGDG 21:2 +4O","DGDG","IP_DAG","Orbi_1229",3149585184.1619,"Control","positive"
"2",338.2172188,83.38525,"MAG 12:1 +3O","MAG","IP_MAG","Orbi_1229",252760598.759867,"Control","positive"
"3",609.3226703,84.8603,"PDPT 21:2 +1O","PDPT","IP_DAG","Orbi_1229",8710579076.40834,"Control","positive"
"4",681.3439115,86.3618,"PDPT 24:3 +3O","PDPT","IP_DAG","Orbi_1229",623543432.356995,"Control","positive"
"5",653.3480956,81.83355,"PDPT 23:2 +2O","PDPT","IP_DAG","Orbi_1229",21615684.4764075,"Control","positive"
"6",904.8331003,1296.44,"TAG 54:2","TAG","TAG","Orbi_1229",914449161.471078,"Control","positive"
"7",930.848846,1293.515,"TAG 56:3","TAG","TAG","Orbi_1229",273053858.496802,"Control","positive"
"8",806.7964101,1317.94,"WaxEster 52:2 +2O","WaxEster","IP_DAG","Orbi_1229",24665144.0761393,"Control","positive"
"9",836.8066431,1323.59,"DAG 50:1","DAG","IP_DAG","Orbi_1229",7718099.85885666,"Control","positive"
"10",890.817252,1266.045,"TAG 53:2","TAG","TAG","Orbi_1229",119933957.52374,"Control","positive"
"11",892.8330487,1323.73,"TAG 53:1","TAG","TAG","Orbi_1229",66819636.698945,"Control","positive"
"12",968.8646139,1270.03,"TAG 59:5","TAG","TAG","Orbi_1229",30149759.3335949,"Control","positive"
"13",1008.896081,1306.13,"TAG 62:6","TAG","TAG","Orbi_1229",136121575.85619,"Control","positive"
"14",1018.901114,1271.73,"TAG 60:3 +2O","TAG","TAG","Orbi_1229",15838963.6687246,"Control","positive"
"15",1044.917116,1270.2,"TAG 62:4 +2O","TAG","TAG","Orbi_1229",32279007.3040094,"Control","positive"
"16",1046.932762,1322.685,"TAG 62:3 +2O","TAG","TAG","Orbi_1229",28094376.397462,"Control","positive"
"17",1070.93269,1279.56,"TAG 64:5 +2O","TAG","TAG","Orbi_1229",42448509.4676267,"Control","positive"
