"","m/z","RT","compound_name","lipid_species","lipid_class","sample","intensity","treatment","polarity"
"1",816.422419370106,81.85675,"DGDG 21:2 +4O","DGDG","IP_DAG","Orbi_1229",499630790.900529,"Control","positive"
"2",338.217218807806,83.38525,"MAG 12:1 +3O","MAG","IP_MAG","Orbi_1229",40096384.2819,"Control","positive"
"3",609.322670276123,84.8603,"PDPT 21:2 +1O","PDPT","IP_DAG","Orbi_1229",1381792603.91596,"Control","positive"
"4",681.343911549353,86.3618,"PDPT 24:3 +3O","PDPT","IP_DAG","Orbi_1229",98915088.8271423,"Control","positive"
"5",653.348095587416,81.83355,"PDPT 23:2 +2O","PDPT","IP_DAG","Orbi_1229",3428979.02378776,"Control","positive"
"6",904.833100297308,1296.44,"TAG 54:2","TAG","TAG","Orbi_1229",145062581.572136,"Control","positive"
"7",930.848846037936,1293.515,"TAG 56:3","TAG","TAG","Orbi_1229",43315581.9896156,"Control","positive"
"8",806.796410071844,1317.94,"WaxEster 52:2 +2O","WaxEster","IP_DAG","Orbi_1229",3912726.50945313,"Control","positive"
"9",836.806643102969,1323.59,"DAG 50:1","DAG","IP_DAG","Orbi_1229",1224351.81505859,"Control","positive"
"10",890.817252018626,1266.045,"TAG 53:2","TAG","TAG","Orbi_1229",19025584.1816477,"Control","positive"
"11",892.833048708116,1323.73,"TAG 53:1","TAG","TAG","Orbi_1229",10599855.5291406,"Control","positive"
"12",968.864613886282,1270.03,"TAG 59:5","TAG","TAG","Orbi_1229",4782772.08609375,"Control","positive"
"13",1008.89608089234,1306.13,"TAG 62:6","TAG","TAG","Orbi_1229",21593488.2251563,"Control","positive"
"14",1018.90111437685,1271.73,"TAG 60:3 +2O","TAG","TAG","Orbi_1229",2512595.62214843,"Control","positive"
"15",1044.91711581808,1270.2,"TAG 62:4 +2O","TAG","TAG","Orbi_1229",5120542.86663786,"Control","positive"
"16",1046.93276196313,1322.685,"TAG 62:3 +2O","TAG","TAG","Orbi_1229",4456718.79865057,"Control","positive"
"17",1070.9326897561,1279.56,"TAG 64:5 +2O","TAG","TAG","Orbi_1229",6733770.04156252,"Control","positive"
"18",1072.94847100098,1317,"TAG 64:4 +2O","TAG","TAG","Orbi_1229",5411308.99924609,"Control","positive"
"19",1096.9483007182,1287.8,"TAG 66:6 +2O","TAG","TAG","Orbi_1229",11053456.1770313,"Control","positive"
"20",956.864349273391,1292.94,"TAG 58:4","TAG","TAG","Orbi_1229",21613279.0762153,"Control","positive"
"21",736.754113773494,1272.04,"WaxEster 48:1 +1O","WaxEster","IP_DAG","Orbi_1229",746594.657717011,"Control","positive"
"22",780.780587668583,1277.665,"WaxEster 50:1 +2O","WaxEster","IP_DAG","Orbi_1229",518173.876367187,"Control","positive"
"23",834.791384833272,1265.605,"DAG 50:2","DAG","IP_DAG","Orbi_1229",1170221.62296143,"Control","positive"
"24",862.822876819653,1321.16,"DAG 52:2","DAG","IP_DAG","Orbi_1229",903779.380774403,"Control","positive"
"25",916.833117937029,1266.98,"TAG 55:3","TAG","TAG","Orbi_1229",6776366.16342186,"Control","positive"
"26",918.848379062584,1322.685,"TAG 55:2","TAG","TAG","Orbi_1229",9152654.11802952,"Control","positive"
"27",942.848422490906,1268.775,"TAG 57:4","TAG","TAG","Orbi_1229",5182532.24429688,"Control","positive"
"28",980.278376334414,1294.92,"PDMS13","PDMS13","PDMS","Orbi_1229",6875863.96605038,"Control","positive"
"29",1027.80995840972,1267.76,"PDPT 52:2","PDPT","IP_DAG","Orbi_1229",2756907.36244955,"Control","positive"
