"","peakgroup_mz","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rt","peakgroup_rtmin","peakgroup_rtmax","npeaks","mzXML_pos","Orbi_1129","Orbi_1130","Orbi_1131","Orbi_1132","Orbi_1133","Orbi_1134","Orbi_1135","Orbi_1136","xcms_peakgroup","isotopes","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","LOBdbase_mz","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","elem_formula","compound_name","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","LOBdbase_ppm_match","match_ID"
"1",568.29633493989,568.296287490219,568.296387921942,83.6579275019995,80.6829887795391,84.4966388664206,8,8,49591386962.0735,47984567560.5247,26093998060.6238,43454830286.733,51469422818.8513,51957669222.8782,52794195887.0413,50545822129.8171,3273,"",1,92506,550.26254174,568.29636733,"IP_MAG","LMGDG","[M+NH4]+",16,3,4,"C25H42O13","LMGDG 16:3 +4O",0,0,0,1,0,0,0,0,0,0,0,"C2b",0.0569951035049265,1
"7",526.277222240265,526.172054787443,526.278053578173,83.732188450486,81.261938679531,178.069084821733,10,8,20855815.2680956,18253481.2765805,9141993.35304764,15708079.6188135,19315738.3766694,23479140.6574877,23570217.3739359,22477582.9604538,2834,"",1,47050,508.24373435,526.27755994,"IP_DAG","PA","[M+NH4]+",20,2,2,"C23H41O10P1","PA 20:2 +2O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",0.641676106085652,2
"71",526.277222240265,526.172054787443,526.278053578173,83.732188450486,81.261938679531,178.069084821733,10,8,20855815.2680956,18253481.2765805,9141993.35304764,15708079.6188135,19315738.3766694,23479140.6574877,23570217.3739359,22477582.9604538,2834,"",1,48571,508.24373435,526.27755994,"IP_MAG","LPA","[M+NH4]+",20,3,3,"C23H41O10P1","LPA 20:3 +3O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",0.641676106085652,3
"72",526.277222240265,526.172054787443,526.278053578173,83.732188450486,81.261938679531,178.069084821733,10,8,20855815.2680956,18253481.2765805,9141993.35304764,15708079.6188135,19315738.3766694,23479140.6574877,23570217.3739359,22477582.9604538,2834,"",1,56108,525.27028348,526.27755994,"IP_MAG","LPE","[M+H]+",18,2,3,"C23H44N1O10P1","LPE 18:2 +3O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",0.641676106085652,4
"73",526.277222240265,526.172054787443,526.278053578173,83.732188450486,81.261938679531,178.069084821733,10,8,20855815.2680956,18253481.2765805,9141993.35304764,15708079.6188135,19315738.3766694,23479140.6574877,23570217.3739359,22477582.9604538,2834,"",1,74038,525.27028348,526.27755994,"IP_MAG","LPC","[M+H]+",15,2,3,"C23H44N1O10P1","LPC 15:2 +3O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",0.641676106085652,5
"25",712.338694653614,712.338602173383,712.338806316848,84.5495579289345,83.2133963596999,87.0835103265714,8,8,127143121.79935,139058128.346452,75569713.1415435,114890670.652449,127482928.960028,118907422.394925,121446447.007169,109554182.756096,4842,"[499][M]+",1,26160,694.30480054,712.33862613,"IP_MAG","LDGDG","[M+NH4]+",16,4,3,"C31H50O17","LDGDG 16:4 +3O",1,0,0,0,0,0,0,0,0,0,0,"C1",-0.0961952800952963,6
"40",681.343688192582,681.343572295113,681.343836427349,86.9743246353455,86.1311876613952,89.6429527954892,8,8,45566344.2524114,53905336.0758798,42867968.4650266,48460876.0173595,49349490.5289314,45206986.6282172,45239837.2030292,45402042.7496169,4513,"[448][M]+",1,118011,680.3359203,681.34319676,"IP_DAG","PDPT","[M+H]+",24,3,3,"C32H57O11P1S1","PDPT 24:3 +3O",1,0,0,0,0,0,0,0,0,0,0,"C1",-0.721270256503181,7
"112",394.243640795378,394.186695718176,394.278887545777,110.099686669952,86.5429362349656,152.122349908483,19,8,14371474.3353747,13621953.3077083,6008802.24307566,12859139.3091929,13531313.8259208,15000870.0816563,17113016.5896776,17271627.5962165,1747,"[86][M]+",3,45454,376.20971824,394.24354383,"IP_MAG","MAG","[M+NH4]+",15,2,4,"C18H32O8","MAG 15:2 +4O",1,0,0,0,0,0,0,0,0,0,0,"C1",-0.24595298977506,8
"16",754.423754966254,754.422283768448,754.427428071321,116.622029103326,112.658574650821,119.617353379975,5,5,142527.665282507,411661.575179553,108544.825538813,193302.272330261,177531.999207764,135322.429015137,236271.269935981,214010.009627895,5252,"",3,18950,736.38813632,754.42196191,"IP_DAG","DGDG","[M+NH4]+",20,2,1,"C35H60O16","DGDG 20:2 +1O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-2.37672860038774,9
"161",754.423754966254,754.422283768448,754.427428071321,116.622029103326,112.658574650821,119.617353379975,5,5,142527.665282507,411661.575179553,108544.825538813,193302.272330261,177531.999207764,135322.429015137,236271.269935981,214010.009627895,5252,"",3,26555,736.38813632,754.42196191,"IP_MAG","LDGDG","[M+NH4]+",20,3,2,"C35H60O16","LDGDG 20:3 +2O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-2.37672860038774,10
"32",414.247940756188,414.14500965385,414.250135651979,116.136879541962,19.839009969116,182.041120871248,14,7,154623.102044075,556394.026482257,1076716.57497766,671180.285242989,244985.318862031,603180.094119605,75053.7806528321,419641.186712565,1892,"",3,45937,396.21480362,414.24862921,"IP_MAG","MAG","[M+NH4]+",18,5,3,"C21H32O7","MAG 18:5 +3O",1,0,0,0,0,0,0,0,0,0,0,"C1",1.66193383156324,11
"34",418.243950024356,418.187154521464,418.262240367229,111.685502782286,77.6423421480861,125.520235086513,12,6,5730545.0560908,2992828.03298753,399675.852560171,589347.279313721,470198.213295743,713531.880303166,638782.735696176,767791.449793994,1916,"",3,17274,417.23626737,418.24354383,"IP_MAG","LDGCC","[M+H]+",10,2,1,"C20H35N1O8","LDGCC 10:2 +1O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-0.971190977248279,12
"341",418.243950024356,418.187154521464,418.262240367229,111.685502782286,77.6423421480861,125.520235086513,12,6,5730545.0560908,2992828.03298753,399675.852560171,589347.279313721,470198.213295743,713531.880303166,638782.735696176,767791.449793994,1916,"",3,33829,417.23626737,418.24354383,"IP_MAG","LDGTS_DGTA","[M+H]+",10,2,2,"C20H35N1O8","LDGTS_DGTA 10:2 +2O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-0.971190977248279,13
"43",464.249151520977,464.212665128036,464.300925608576,114.129082774086,86.7482657881984,193.323237617068,37,8,8286409.59564046,58646497.5216225,601644.326588414,1611036.94881843,2733777.44797146,83794.470375,195458.830433634,11771791.1348171,2272,"",3,17409,463.24174669,464.24902315,"IP_MAG","LDGCC","[M+H]+",11,2,3,"C21H37N1O10","LDGCC 11:2 +3O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-0.276513188070402,14
"431",464.249151520977,464.212665128036,464.300925608576,114.129082774086,86.7482657881984,193.323237617068,37,8,8286409.59564046,58646497.5216225,601644.326588414,1611036.94881843,2733777.44797146,83794.470375,195458.830433634,11771791.1348171,2272,"",3,33964,463.24174669,464.24902315,"IP_MAG","LDGTS_DGTA","[M+H]+",11,2,4,"C21H37N1O10","LDGTS_DGTA 11:2 +4O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-0.276513188070402,15
"432",464.249151520977,464.212665128036,464.300925608576,114.129082774086,86.7482657881984,193.323237617068,37,8,8286409.59564046,58646497.5216225,601644.326588414,1611036.94881843,2733777.44797146,83794.470375,195458.830433634,11771791.1348171,2272,"",3,92141,446.21519756,464.24902315,"IP_MAG","LMGDG","[M+NH4]+",12,3,1,"C21H34O10","LMGDG 12:3 +1O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-0.276513188070402,16
