"","peakgroup_mz","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rt","peakgroup_rtmin","peakgroup_rtmax","npeaks","mzXML_pos","Orbi_1229","Orbi_1230","Orbi_1231","Orbi_1232","Orbi_1233","Orbi_1234","Orbi_1235","Orbi_1236","xcms_peakgroup","isotopes","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","LOBdbase_mz","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","elem_formula","compound_name","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","LOBdbase_ppm_match","match_ID"
"1",568.296250662441,568.296184043633,568.296331765962,84.8603,83.3772,86.3231,8,8,31489458984.5079,26239420296.1568,28092027289.9917,21823367302.8605,25714260525.0859,20816766915.8338,25398818032.5598,21673685657.1513,2905,"[255][M]+",1,92506,550.26254174,568.29636733,"IP_MAG","LMGDG","[M+NH4]+",16,3,4,"C25H42O13","LMGDG 16:3 +4O",0,0,0,1,0,0,0,0,0,0,0,"C2b",0.205293515205118,1
"31",816.422426534144,816.42234698189,816.42315449239,83.2747,80.3924,138.708,9,8,499630790.900529,384900774.033902,456852245.094639,328369989.813416,408792969.477046,465595843.081359,304372913.193969,431807348.567133,4908,"[537][M]+",1,19090,798.38853026,816.42235585,"IP_DAG","DGDG","[M+NH4]+",21,2,4,"C36H62O19","DGDG 21:2 +4O",0,0,0,1,0,0,0,0,0,0,0,"C2b",-0.0865779138152459,2
"42",436.21778270257,436.21773241437,436.254265797079,87.86015,71.1184,148.176,14,8,178807517.873625,129585146.887719,143928625.176046,124037417.257525,111384497.157105,86556312.3535003,136339448.297556,100031977.286726,1901,"",1,91941,418.1838974,436.21772299,"IP_MAG","LMGDG","[M+NH4]+",10,3,1,"C19H30O10","LMGDG 10:3 +1O",0,0,1,0,0,0,0,0,0,0,0,"C2a",-0.136887078737549,3
"3",338.217159661335,338.180718261136,338.253717227151,83.4071,71.4807,151.258,27,8,40096384.2819,34850838.427909,32225500.207075,32277555.8289961,29552852.1570775,24341085.9075026,33696815.7155389,32199291.3542839,1263,"",1,45027,320.18350346,338.21732905,"IP_MAG","MAG","[M+NH4]+",12,1,3,"C15H28O7","MAG 12:1 +3O",1,0,0,0,0,0,0,0,0,0,0,"C1",0.500827870539387,4
"6",452.248989472868,452.241247712933,452.264601946651,83.2856,80.4163,113.506,10,8,26586810.0221663,26631186.0372628,33195691.4009215,22219933.528998,27537085.0106981,21681807.1435911,26755657.2987409,20253778.493283,2005,"[148][M]+",1,17259,451.24174669,452.24902315,"IP_MAG","LDGCC","[M+H]+",10,1,3,"C20H37N1O10","LDGCC 10:1 +3O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",0.0744659034215017,5
"61",452.248989472868,452.241247712933,452.264601946651,83.2856,80.4163,113.506,10,8,26586810.0221663,26631186.0372628,33195691.4009215,22219933.528998,27537085.0106981,21681807.1435911,26755657.2987409,20253778.493283,2005,"[148][M]+",1,33814,451.24174669,452.24902315,"IP_MAG","LDGTS_DGTA","[M+H]+",10,1,4,"C20H37N1O10","LDGTS_DGTA 10:1 +4O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",0.0744659034215017,6
"62",452.248989472868,452.241247712933,452.264601946651,83.2856,80.4163,113.506,10,8,26586810.0221663,26631186.0372628,33195691.4009215,22219933.528998,27537085.0106981,21681807.1435911,26755657.2987409,20253778.493283,2005,"[148][M]+",1,92041,434.21519756,452.24902315,"IP_MAG","LMGDG","[M+NH4]+",11,2,1,"C20H34O10","LMGDG 11:2 +1O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",0.0744659034215017,7
"8",480.243976145874,480.24380812969,480.280988709502,86.3223,68.1777,107.662,13,8,30999956.0348548,23072816.6666273,22014174.773825,28019417.5665578,20774853.922158,16137142.7422187,29175895.0430833,20279968.997856,2183,"[167][M]+",1,17414,479.23666131,480.24393777,"IP_MAG","LDGCC","[M+H]+",11,2,4,"C21H37N1O11","LDGCC 11:2 +4O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-0.079909126436921,8
"81",480.243976145874,480.24380812969,480.280988709502,86.3223,68.1777,107.662,13,8,30999956.0348548,23072816.6666273,22014174.773825,28019417.5665578,20774853.922158,16137142.7422187,29175895.0430833,20279968.997856,2183,"[167][M]+",1,92146,462.21011218,480.24393777,"IP_MAG","LMGDG","[M+NH4]+",12,3,2,"C21H34O11","LMGDG 12:3 +2O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-0.079909126436921,9
"19",609.322670276123,609.322602070665,609.322740216544,84.8603,83.3772,86.3231,8,8,1381792603.91596,1390714566.82442,1394756878.77584,1052845212.91788,1077705375.91611,983538857.273795,1147653071.06646,961850523.941455,3266,"[296][M]+",1,117437,608.3147909,609.32206736,"IP_DAG","PDPT","[M+H]+",21,2,1,"C29H53O9P1S1","PDPT 21:2 +1O",1,0,0,0,0,0,0,0,0,0,0,"C1",-0.989486767551446,10
"41",420.222846327287,420.207407648682,420.319119562171,87.8609,71.4675,132.523,6,5,2468955.97219063,595991.601854492,3036935.55714928,2503434.66146832,1722344.57360905,2564231.70447667,6258757.12052464,2962248.98203393,1795,"",1,91936,402.18898278,420.22280837,"IP_MAG","LMGDG","[M+NH4]+",10,3,0,"C19H30O9","LMGDG 10:3",1,0,0,0,0,0,0,0,0,0,0,"C1",-0.0903265739255033,11
"45",496.275444068124,496.254643203297,496.275515561006,83.2747,80.3924,113.869,9,8,80932363.3374833,76491315.8929929,96837805.6335516,63856004.311875,87491345.3906969,63809890.2332604,75595657.7740636,71006343.6589864,2299,"[188][M]+",1,17464,495.26796147,496.27523793,"IP_MAG","LDGCC","[M+H]+",12,1,4,"C22H41N1O11","LDGCC 12:1 +4O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-0.415370561221259,12
"451",496.275444068124,496.254643203297,496.275515561006,83.2747,80.3924,113.869,9,8,80932363.3374833,76491315.8929929,96837805.6335516,63856004.311875,87491345.3906969,63809890.2332604,75595657.7740636,71006343.6589864,2299,"[188][M]+",1,92246,478.24141234,496.27523793,"IP_MAG","LMGDG","[M+NH4]+",13,2,2,"C22H38O11","LMGDG 13:2 +2O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-0.415370561221259,13
"47",514.286070984276,514.256517319855,514.286656325194,87.9191,71.4807,138.845,16,8,187292.243466448,458086663.6603,501913608.826473,421136439.614934,443814375.037164,412183468.466962,437819994.262791,407092848.165656,2424,"",1,92226,496.25197704,514.28580263,"IP_MAG","LMGDG","[M+NH4]+",13,1,3,"C22H40O12","LMGDG 13:1 +3O",1,0,0,0,0,0,0,0,0,0,0,"C1",-0.521799892226907,14
"52",562.278187606333,562.255749892839,562.338122873706,87.9939,68.1777,126.194,10,6,1637692.72715203,813237.0808433,1619831.16304812,1202550.07778098,1431532.02892219,1376953.72367062,700539.060178646,1232867.8439525,2855,"",1,48928,561.27028348,562.27755994,"IP_DAG","PE","[M+H]+",21,4,2,"C26H44N1O10P1","PE 21:4 +2O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-1.11629269590104,15
"521",562.278187606333,562.255749892839,562.338122873706,87.9939,68.1777,126.194,10,6,1637692.72715203,813237.0808433,1619831.16304812,1202550.07778098,1431532.02892219,1376953.72367062,700539.060178646,1232867.8439525,2855,"",1,74388,561.27028348,562.27755994,"IP_MAG","LPC","[M+H]+",18,5,3,"C26H44N1O10P1","LPC 18:5 +3O",1,0,0,0,0,1,0,0,0,0,0,"C1; C3f",-1.11629269590104,16
